"YEAR","AGE","n_obs","mean_wage","mean_wage_index","mean_wage_6yr_proj","mean_wage_npv_3pct","mean_wage_npv_7pct","exp_lifetime_mean_3pct","exp_lifetime_mean_7pct"
2021,50,38740,119367.408328078,4.28903018056206,6.05490272286957,53.8404115509669,42.3924948091532,12.553050289777,9.88393483479703
2021,51,36717,120502.775713899,4.32982544496478,5.98178882843754,51.037922811517,40.7707071525925,11.7875243379314,9.41624729930056
2021,52,35895,121059.973621989,4.34984630893277,5.93732656391737,48.1093402875488,38.9917434271616,11.0600092211884,8.96393588598495
2021,53,35647,119447.77494751,4.29191786038255,5.98840632071908,45.0722787979745,37.0668299165049,10.5016638864466,8.63642574771946
2021,54,35993,120576.948314871,4.3324905654411,5.86876305953649,42.0037717657197,35.0691559000509,9.69506364324724,8.09445638030615
2021,55,35331,120151.753080325,4.31721273358446,5.8264564184944,38.8014196362869,32.8882319080325,8.98760891128735,7.6179317391956
2021,56,34923,121018.820028969,4.34836760544934,5.69449665976529,35.5187331097835,30.5709905166594,8.16829126067256,7.03045218126177
2021,57,34277,118566.887567449,4.26026640198471,5.70637620210353,32.1054764694642,28.0582065149947,7.53602555335681,6.586021592904
2021,58,33386,119010.41327385,4.27620287214227,5.56479595311817,28.6805663695039,25.4637959209207,6.70701723633043,5.95476797576818
2021,59,32594,115976.988226033,4.16720786452009,5.56077276773501,25.1364944022825,22.6707245621929,6.03197517846336,5.44026727229355
2021,60,31419,112912.677925327,4.0571031085702,5.55010954471112,21.5983651338952,19.79876286651,5.32359285823202,4.88002457336792
2021,61,29050,112573.165906583,4.04490398893233,5.36683933778137,18.0674998860848,16.8435759409955,4.46673145654906,4.16414727941206
2021,62,27121,110101.133524459,3.95608056851326,5.27875897501026,14.443273774067,13.6945789887076,3.65090485998241,3.46165320739517
2021,63,25165,106012.886716126,3.80918440822862,5.2683538339025,10.8018090017204,10.420193309608,2.83572750596854,2.73554446119705
2021,64,22813,104691.813866711,3.76171649884509,5.08434688605989,7.20240333129652,7.07377952447591,1.91465872920189,1.8804658795121
2021,65,19820,98629.9998720417,3.54390743742498,5.15456783833145,3.54390743742498,3.54390743742498,1,1
2022,22,13552,30485.2040153053,1,11.1461826976263,79.4177079374482,40.3514574043145,79.4177079374482,40.3514574043145
2022,23,25039,39513.1001079538,1.29614025505999,9.47649370869968,80.7702391755716,42.1060594226165,62.3159714855342,32.4857277275657
2022,24,31278,47039.9549852344,1.54304215781589,8.63870024721523,81.858321888127,43.6666135092855,53.0499581450152,28.2990411429158
2022,25,36437,57089.2355901179,1.87268668306946,7.59945662321591,82.7247381222204,45.0722213460724,44.1743612907146,24.068212666625
2022,26,39203,60455.7054874876,1.98311631626724,7.63637681619816,83.2776129823255,46.2235020894132,41.9933073512684,23.3085178666768
2022,27,41706,66049.6159792294,2.16661223412081,7.39475241336057,83.73333156604,47.3372127772662,38.6471239511015,21.848493252174
2022,28,44271,69646.0413789819,2.28458505129294,7.39184331612469,84.0137209118767,48.3325425811655,36.7741708124764,21.1559392607477
2022,29,45977,74165.0911631932,2.43282253010208,7.34405555345117,84.1810099364013,49.2713145569637,34.6021992540776,20.252736871397
2022,30,49280,78958.3811609279,2.59005585533514,7.25421286475029,84.2006330284882,50.1171864687419,32.5091958364709,19.3498477515486
2022,31,48960,84572.334349835,2.77420922974223,7.07652484228075,84.0588944883476,50.8540297563452,30.3001279020898,18.331000131908
2022,32,49680,88271.0837593868,2.89553856077426,7.04535602498094,83.7232258163635,51.4454079634652,28.9145608179972,17.7671292865493
2022,33,48746,92807.6253516207,3.04434981983476,6.94320590633596,83.252517873257,51.9483602608793,27.3465675103578,17.0638603758417
2022,34,47941,96038.1096768073,3.15031874572959,6.92976150519495,82.6144130950249,52.3272911719177,26.2241442098558,16.6101577000263
2022,35,48250,104025.015330684,3.41231160134133,6.5422630506223,81.8480171797741,52.6193604960212,23.9860911727993,15.4204441573675
2022,36,46732,107066.735929126,3.51208854877181,6.4701574451184,80.7887767457858,52.6515423173075,23.0030580447745,14.9915190309538
2022,37,45861,110269.654948656,3.6171532555037,6.40200276921507,79.5949888429244,52.5792155323332,22.004870465971,14.5360762506623
2022,38,45118,111694.070558899,3.66387807353438,6.44166374008981,78.2571706550433,52.3894066362075,21.3591088689128,14.298894664273
2022,39,43752,115288.866050215,3.78179742514871,6.32673742093469,76.8310913589542,52.1363155620603,20.3160250858579,13.7861206460603
2022,40,43428,117176.85265245,3.84372866895102,6.32239724003147,75.2407727518196,51.7393344064954,19.5749438194224,13.4607145463822
2022,41,41509,119062.833999005,3.90559413475561,6.31525233571893,73.5389554053547,51.2482981391725,18.8291340236654,13.1217674881057
2022,42,40305,119246.360387137,3.91161431385758,6.40742124191616,71.722362108717,50.656693284726,18.335744875109,12.9503292554345
2022,43,39273,123477.652693982,4.05041254216271,6.23676817590109,69.8450702287052,50.0172344988292,17.2439398460414,12.3486765800213
2022,44,38553,125243.078519507,4.1083234495209,6.17926334964095,67.7684974171388,49.1844994936332,16.4954143094653,11.9719150884697
2022,45,37862,125195.604804941,4.106766178835,6.21673494247575,65.5699791866464,48.2315083672002,15.9663288172027,11.7444008903576
2022,46,37506,128613.079400852,4.218868908874,6.0650768231442,63.3071093980458,47.2134741415507,15.0057066871372,11.1910265906204
2022,47,38366,130136.064703109,4.26882708863531,5.98048919463965,60.8608877038469,46.0042275989641,14.2570515132538,10.7767840307795
2022,48,39055,131396.182443339,4.31016247676647,5.90686092315689,58.289822433668,44.6568785460518,13.5238109347093,10.360834141815
2022,49,39387,129517.484885042,4.24853593959932,5.99528000040258,55.5990497556086,43.1709861941353,13.0866375019655,10.1613795453044
2022,50,39890,129051.548654512,4.23325192738486,6.01948042129834,52.8910292304895,41.6470217723535,12.4941841727723,9.8380683424342
2022,51,38398,129593.530948405,4.25103046328119,5.97855038629944,50.1175106221978,40.0327337341164,11.789496936118,9.4171834523192
2022,52,37297,130353.395392906,4.27595614342818,5.92657727612356,47.2424745636841,38.2864224997937,11.0484001657249,8.953885684407
2022,53,36598,128365.186465667,4.2107373269085,5.98703955411869,44.2555139728636,36.3911990013111,10.5101578505149,8.6424766438778
2022,54,36344,129257.829180023,4.24001850586691,5.89020472938495,41.2461199453338,34.4330939916108,9.72781601973235,8.12097728912403
2022,55,35620,129872.096192225,4.26016818280178,5.79806430064458,38.1162844826509,32.306590769746,8.94713139179003,7.58340736409588
2022,56,35246,129381.232284839,4.24406647303007,5.73033566841449,34.8717997888446,30.0096721680303,8.21660075553616,7.0709712863203
2022,57,35127,127551.714997836,4.18405318638502,5.70739665906343,31.5465653152889,27.5691980936502,7.53971422207107,6.58911272527818
2022,58,34644,128121.411880558,4.20274083835009,5.56678453435638,28.183387492771,25.0221050507738,6.70595418009054,5.95375875248994
2022,59,33400,124343.164206289,4.07880374177132,5.58666075236208,24.7000660540536,22.2767197072934,6.05571329679299,5.46158165914087
2022,60,32202,122085.457184457,4.00474463359874,5.52498273111515,21.2399001816507,19.4717700831086,5.30368403604405,4.8621752108101
2022,61,30037,121523.784028038,3.98632018230964,5.34953810578896,17.7522102144935,16.5497172309755,4.45328257706787,4.15162768520686
2022,62,28226,117772.357888055,3.86326290711148,5.31738623184955,14.1788667331494,13.4428348420725,3.67017908800589,3.47965830058498
2022,63,26162,114142.05684906,3.74417887417628,5.27873067077161,10.6250719408191,10.2501419704083,2.83775756924983,2.73762080148036
2022,64,23792,113357.474020695,3.71844236186783,5.05412537719224,7.08731985864206,6.96138051296826,1.90599158704775,1.87212274267214
2022,65,20622,105781.945325486,3.46994382167746,5.17532485314151,3.46994382167746,3.46994382167746,1,1
2023,22,14055,31023.7415654169,1,11.1859227680832,78.3638055228492,39.9643990795448,78.3638055228492,39.9643990795448
2023,23,25445,40540.8051414171,1.30676711111497,9.42296968344299,79.6847196885347,41.6919070151129,60.9785163789022,31.9046191631961
2023,24,31851,47921.3058818202,1.54466558396166,8.64531632215656,80.7292911547423,43.2120996972778,52.263280798743,27.97505178205
2023,25,37127,58015.5243575271,1.8700363473308,7.6255075352403,81.560164337904,44.5841545012483,43.6142134105142,23.8413304451999
2023,26,39944,61908.9627290068,1.99553501947742,7.58274937407634,82.0808318302904,45.7041064246917,41.1322432476204,22.903184348356
2023,27,42371,67441.3212229903,2.17386162403342,7.34919291563441,82.4878557151374,46.7681714035793,37.9453111473066,21.5138677119682
2023,28,44980,71201.257794965,2.29505708216494,7.32688444219696,82.7234139138371,47.715911464114,36.0441640239307,20.7907297099135
2023,29,47177,75526.4058036341,2.43447121438846,7.29615319672523,82.8412075366223,48.6003141886855,34.0284194148634,19.9633965279372
2023,30,50446,80201.3760110339,2.58516129790214,7.20943730710417,82.8189384119009,49.3974519824979,32.0362750591649,19.1080734585435
2023,31,50320,86118.4945876098,2.77589001977791,6.99565791136177,82.6407904274187,50.0891510325174,29.7709166568604,18.0443571883748
2023,32,51497,88951.2929628587,2.86720068162299,7.04170498359425,82.26084741987,50.6251892836313,28.6902998967293,17.6566605916733
2023,33,50689,93640.4529929236,3.01834815105949,6.93369978750918,81.7754561403944,51.1010478041489,27.0927845456429,16.9301370308165
2023,34,50136,97245.3656447242,3.1345466645173,6.88769125452168,81.119821229015,51.4484886288057,25.8792833258097,16.4133746073066
2023,35,50023,104895.244942202,3.38112811831606,6.52030819699634,80.3248328014326,51.6959179017886,23.7568142911537,15.2895471844868
2023,36,48226,107355.941164719,3.46044467068381,6.47370631409057,79.2520158236101,51.6968250683156,22.9022635428958,14.9393589518366
2023,37,47638,110367.230268951,3.55750869172985,6.41355597662832,78.0653182875141,51.612927025466,21.9438166009244,14.5081661066495
2023,38,47193,112864.527940195,3.63800503244291,6.37217750383131,76.7430438836577,51.4192976170977,21.0948152075878,14.1339270172943
2023,39,45731,116546.479058506,3.75668675593998,6.24949201616341,75.2981900167513,51.1259830655806,20.0437765799056,13.6093282158118
2023,40,45574,117766.631119357,3.79601637897328,6.27589445302876,73.6877483586356,50.6851470513155,19.4118625954312,13.3521939821093
2023,41,43497,119048.515870849,3.83733585518118,6.30100688148879,71.9884839390522,50.1713698194061,18.760016494739,13.0745318400172
2023,42,42343,118397.449915318,3.81634979989967,6.43901635181279,70.1956825263872,49.5774163417207,18.3934089396713,12.990794592001
2023,43,41120,123222.80541112,3.97188730931411,6.23522584462461,68.3707127082821,48.9643411997485,17.2136587430243,12.3277266917736
2023,44,40160,124210.924545901,4.00373772724959,6.21548281065637,66.330790160937,48.1419256627648,16.5672166059947,12.0242455781029
2023,45,38891,125709.963525547,4.05205681785588,6.16709559870098,64.1968640066981,47.2278610910013,15.8430315497568,11.6552810619254
2023,46,38265,128501.287725121,4.14203062690431,6.04838241272078,61.9491514045075,46.1981105722655,14.9562272673989,11.1534932340163
2023,47,38299,130083.086610241,4.19301734885674,5.95281174001066,59.5413344009312,45.0000055415365,14.2001163952173,10.7321295853465
2023,48,38992,130635.048199738,4.21080893561081,5.90891757158281,57.0087665636367,43.6634773661674,13.5386733132234,10.3693798587975
2023,49,39502,129181.710340018,4.16396294649452,5.97878279578279,54.3818963568667,42.2143552206955,13.0601297503497,10.1380237439995
2023,50,40469,127919.770010118,4.12328634637397,6.04152212831419,51.7244714126834,40.7139197333951,12.5444771639908,9.87414317446057
2023,51,39571,128944.459886023,4.15631556284497,5.96981663075621,49.0292206182987,39.1519777241126,11.7963181276685,9.41987612156026
2023,52,39263,130460.853642457,4.20519405653783,5.87688313746571,46.2190922071173,37.4453585125563,10.9909534698548,8.9045494712283
2023,53,37934,127218.283071913,4.10067505248067,5.99204961136266,43.2743150950968,35.5669759679398,10.5529734839434,8.67344413121051
2023,54,37173,128186.654821472,4.13188894547671,5.89893289032853,40.3488492438947,33.6689419795413,9.76523081242675,8.1485592724847
2023,55,36147,129619.365878711,4.17807006306427,5.76837886739109,37.3034691073705,31.6046467464491,8.9283972131409,7.56441281965235
2023,56,35776,128400.503864416,4.13878202258969,5.73912012372054,34.1191610156354,29.3464370512217,8.24376853610826,7.09059740064765
2023,57,35476,125889.119792485,4.05783162959356,5.75515047562328,30.8797903628371,26.9721908806363,7.609924014006,6.64694677914418
2023,58,35556,127389.263441739,4.10618632743329,5.58071101586041,27.6266174952408,24.5183643986157,6.72804770467144,5.97107935283144
2023,59,34226,122813.355840455,3.95868936638381,5.65823243959093,24.2260441028418,21.8410305361652,6.11971333456047,5.51723778117922
2023,60,33429,122052.865409768,3.93417619059283,5.53085368753625,20.8753753785517,19.1341050516661,5.30616179022883,4.86356078749559
2023,61,31123,121148.502590527,3.90502552166612,5.37377636736115,17.4494351635976,16.2639238813484,4.46845611297123,4.16487006067228
2023,62,29315,117612.808549153,3.79105815786771,5.32914932765298,13.9507419311895,13.22402124486,3.6799071262563,3.48821376359414
2023,63,27190,113494.031817873,3.65829606911077,5.31513061003694,10.4644742865214,10.0932705030818,2.86047768929348,2.75900865113281
2023,64,24899,113801.101583879,3.66819396506113,5.03140183947776,7.01036356393296,6.88542264434896,1.91112128494441,1.87706067616144
2023,65,21495,106797.204080288,3.44243468683798,5.1186477251023,3.44243468683798,3.44243468683798,1,1
