"DOT_category","dot_title_norm","SOC","soc_title_norm"
"620","motorcycle repairer","49-3052.00","motorcycle mechanics"
"620","mechanical unit repairer","49-3043.00","rail car repairers"
"620","spring repairer helper hand","51-9198.00","helpers production workers"
"620","construction equipment mechanic helper","49-9098.00","helpers installation maintenance and repair workers"
"620","automobile wrecker","49-9099.00","installation maintenance and repair workers all other"
"620","used car renovator","53-7061.00","cleaners of vehicles and equipment"
"620","bonder automobile brakes","51-9191.00","adhesive bonding machine operators and tenders"
"621","supercharger repair supervisor","49-1011.00","first line supervisors of mechanics installers and repairers"
"621","supervisor reclamation","51-1011.00","first line supervisors of production and operating workers"
"621","field service representative","25-1194.00","career technical education teachers postsecondary"
"621","airplane inspector","51-9061.00","inspectors testers sorters samplers and weighers"
"621","flight engineer","53-2011.00","airline pilots copilots and flight engineers"
"621","experimental aircraft mechanic","49-3011.00","aircraft mechanics and service technicians"
"621","aviation safety equipment technician","49-9099.00","installation maintenance and repair workers all other"
"621","airframe and power plant mechanic helper","49-9098.00","helpers installation maintenance and repair workers"
"622","supervisor railroad car repair","49-1011.00","first line supervisors of mechanics installers and repairers"
"622","brake repairer railroad","49-3043.00","rail car repairers"
"622","locomotive inspector","51-9061.00","inspectors testers sorters samplers and weighers"
"622","air valve repairer","49-9012.00","control and valve installers and repairers except mechanical door"
"622","floor covering layer","47-2042.00","floor layers except carpet wood and hard tiles"
"622","car repairer helper","49-9098.00","helpers installation maintenance and repair workers"
"622","switch repairer","49-9043.00","maintenance workers machinery"
"623","machinist supervisor outside","51-1011.00","first line supervisors of production and operating workers"
"623","supervisor gear repair","49-1011.00","first line supervisors of mechanics installers and repairers"
"623","experimental mechanic outboard motors","49-3051.00","motorboat mechanics and service technicians"
"623","deck engineer","51-4041.00","machinists"
"623","deep submergence vehicle crewmember","49-3031.00","bus and truck mechanics and diesel engine specialists"
"623","ship propeller finisher","51-2041.00","structural metal fabricators and fitters"
"623","gear repairer","49-9096.00","riggers"
"623","motorboat mechanic helper","49-9098.00","helpers installation maintenance and repair workers"
"624","supervisor farm equipment maintenance","49-1011.00","first line supervisors of mechanics installers and repairers"
"624","farm equipment mechanic i","49-3041.00","farm equipment mechanics and service technicians"
"624","inspector and tester","51-9061.00","inspectors testers sorters samplers and weighers"
"624","farm machinery set up mechanic","51-2031.00","engine and other machine assemblers"
"624","greaser","49-9043.00","maintenance workers machinery"
"625","engine testing supervisor","49-1011.00","first line supervisors of mechanics installers and repairers"
"625","diesel engine tester","51-9061.00","inspectors testers sorters samplers and weighers"
"625","diesel mechanic","49-3031.00","bus and truck mechanics and diesel engine specialists"
"625","engine repairer service","49-3053.00","outdoor power equipment and other small engine mechanics"
"625","fuel injection servicer","49-3023.00","automotive service technicians and mechanics"
"625","diesel engine erector","51-2031.00","engine and other machine assemblers"
"625","diesel mechanic helper","49-9098.00","helpers installation maintenance and repair workers"
"626","supervisor welding equipment repairer","49-1011.00","first line supervisors of mechanics installers and repairers"
"626","forge shop machine repairer","49-9041.00","industrial machinery mechanics"
"627","composing room machinist","49-9041.00","industrial machinery mechanics"
"628","overhauler","49-9041.00","industrial machinery mechanics"
"628","shear grinder operator","51-4033.00","grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic"
"628","overhauler helper","49-9098.00","helpers installation maintenance and repair workers"
"628","binder and box builder","49-9043.00","maintenance workers machinery"
"628","shear grinder operator helper","51-9198.00","helpers production workers"
"629","bakery machine mechanic supervisor","49-1011.00","first line supervisors of mechanics installers and repairers"
"629","laundry machine mechanic","49-9041.00","industrial machinery mechanics"
"629","dairy equipment repairer","49-3041.00","farm equipment mechanics and service technicians"
"629","oil field equipment mechanic","49-3031.00","bus and truck mechanics and diesel engine specialists"
"629","machine tester","51-9061.00","inspectors testers sorters samplers and weighers"
"629","roll grinder","51-4033.00","grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic"
"629","curing press maintainer","49-9043.00","maintenance workers machinery"
"629","miller head assistant wet process","51-9161.00","computer numerically controlled tool operators"
"629","miller head assistant wet process","51-9162.00","computer numerically controlled tool programmers"
"629","miller head assistant wet process","51-9199.00","production workers all other"
"630","pump servicer supervisor","49-1011.00","first line supervisors of mechanics installers and repairers"
"630","anode crew supervisor","51-1011.00","first line supervisors of production and operating workers"
"630","maintenance mechanic compressed gas plant","49-9041.00","industrial machinery mechanics"
"630","door closer mechanic","49-9011.00","mechanical door repairers"
"630","valve repairer","49-9012.00","control and valve installers and repairers except mechanical door"
"630","equipment cleaner and tester","49-9043.00","maintenance workers machinery"
"630","repairer helper","49-9098.00","helpers installation maintenance and repair workers"
"630","pump installer","49-9099.00","installation maintenance and repair workers all other"
"631","powerhouse mechanic supervisor","49-1011.00","first line supervisors of mechanics installers and repairers"
"631","hydroelectric machinery mechanic","49-9041.00","industrial machinery mechanics"
"631","powerhouse mechanic","49-9099.01","geothermal technicians"
