applicant_id,DOT_category,job_norm,predicted_SOC,predicted_SOC_title,similarity_score,method,alt1_SOC,alt1_SOC_title,alt1_score,alt2_SOC,alt2_SOC_title,alt2_score,alt3_SOC,alt3_SOC_title,alt3_score
151895,30.0,power engineer electrical engineer,17-2071.00,electrical engineers,0.7146176099777222,global_similarity,17-2071.00,electrical engineers,0.7146176099777222,17-3023.00,electrical and electronic engineering technologists and technicians,0.5521758198738098,17-2199.10,wind energy engineers,0.39618954062461853
152106,39.0,java developer,15-1252.00,software developers,0.3809318244457245,global_similarity,15-1252.00,software developers,0.3809318244457245,51-9199.00,production workers all other,0.34448206424713135,51-9161.00,computer numerically controlled tool operators,0.32813045382499695
152976,30.0,consultant us,13-1199.00,business operations specialists all other,0.3635527789592743,global_similarity,13-1199.00,business operations specialists all other,0.3635527789592743,13-1082.00,project management specialists,0.34707003831863403,13-1199.00,business operations specialists all other,0.31522509455680847
153309,30.0,software engineer,15-1252.00,software developers,0.7368320226669312,global_similarity,15-1252.00,software developers,0.7368320226669312,15-1253.00,software quality assurance analysts and testers,0.5792960524559021,15-1221.00,computer and information research scientists,0.4917108118534088
153939,160.0,revenue operations,13-2081.00,tax examiners and collectors and revenue agents,0.4208489656448364,global_similarity,13-2081.00,tax examiners and collectors and revenue agents,0.4208489656448364,13-2081.00,tax examiners and collectors and revenue agents,0.42003133893013,15-2031.00,operations research analysts,0.20793254673480988
154240,30.0,solutions consultant,13-1199.00,business operations specialists all other,0.3635527789592743,global_similarity,13-1199.00,business operations specialists all other,0.3635527789592743,13-1082.00,project management specialists,0.34707003831863403,13-1199.00,business operations specialists all other,0.31522509455680847
154606,12.0,engineering associate,25-4012.00,curators,0.38205254077911377,global_similarity,25-4012.00,curators,0.38205254077911377,17-3029.00,engineering technologists and technicians except drafters all other,0.2234264612197876,17-3022.00,civil engineering technologists and technicians,0.21066634356975555
154696,30.0,hardware systems engineer,15-1299.08,computer systems engineers architects,0.4132137894630432,global_similarity,15-1299.08,computer systems engineers architects,0.4132137894630432,13-1082.00,project management specialists,0.3822576105594635,15-1299.00,computer occupations all other,0.35586878657341003
154801,30.0,software development engineer,15-1252.00,software developers,0.5534238815307617,global_similarity,15-1252.00,software developers,0.5534238815307617,15-1253.00,software quality assurance analysts and testers,0.43510088324546814,15-1221.00,computer and information research scientists,0.3047299087047577
155306,30.0,machine learning research engineer,17-2111.02,fire prevention and protection engineers,0.2203020453453064,global_similarity,17-2111.02,fire prevention and protection engineers,0.2203020453453064,15-2041.00,statisticians,0.20108765363693237,15-2041.01,biostatisticians,0.19619154930114746
155645,30.0,software engineering quality assur,15-1253.00,software quality assurance analysts and testers,0.47027459740638733,global_similarity,15-1253.00,software quality assurance analysts and testers,0.47027459740638733,15-1252.00,software developers,0.4548799991607666,15-1253.00,software quality assurance analysts and testers,0.34825679659843445
155664,5.0,transportation consultant,17-2051.01,transportation engineers,0.3370939791202545,global_similarity,17-2051.01,transportation engineers,0.3370939791202545,13-1199.00,business operations specialists all other,0.28499528765678406,13-1082.00,project management specialists,0.2720741927623749
155744,3.0,software engineer,15-1252.00,software developers,0.7368320226669312,global_similarity,15-1252.00,software developers,0.7368320226669312,15-1253.00,software quality assurance analysts and testers,0.5792960524559021,15-1221.00,computer and information research scientists,0.4917108118534088
156052,39.0,software developer,15-1252.00,software developers,0.48146307468414307,global_similarity,15-1252.00,software developers,0.48146307468414307,15-1253.00,software quality assurance analysts and testers,0.37852540612220764,51-9199.00,production workers all other,0.2902626097202301
156121,30.0,machine learning engineer,15-2041.00,statisticians,0.24918107688426971,global_similarity,15-2041.00,statisticians,0.24918107688426971,15-2041.01,biostatisticians,0.24311399459838867,15-2051.00,data scientists,0.19949586689472198
